Energy[keV],Photon_to_nAmp_BestOf,Photon_to_nAmp_oxidized,Photon_to_nAmp_thin
0.1381,178250853.380966,178250853.380966,178493630.847469
0.1382,177883338.868114,177883338.868114,178125615.780254
0.1383,177859798.330986,177859798.330986,178102043.18094
0.1384,177661269.863172,177661269.863172,177903244.317571
0.1385,177644967.45387,177644967.45387,177886919.704406
0.1386,177621823.576985,177621823.576985,177863744.305586
0.1387,177249068.07848,177249068.07848,177490481.114502
0.1388,177058600.067872,177058600.067872,177299753.686672
0.1389,177035689.058576,177035689.058576,177276811.472606
0.139,177019912.93796,177019912.93796,177261013.864931
0.1391,176662821.826684,176662821.826684,176903436.395954
0.1392,176647187.079634,176647187.079634,176887780.354396
0.1393,176464759.788697,176464759.788697,176705104.597689
0.1394,176456313.55219,176456313.55219,176696646.857418
0.1395,176441079.444213,176441079.444213,176681392.000602
0.1396,176085537.52554,176085537.52554,176325365.834227
0.1397,175904069.549691,175904069.549691,176143650.699193
0.1398,175889044.645816,175889044.645816,176128605.331416
0.1399,175874180.894438,175874180.894438,176113721.335625
0.14,175527132.257798,175527132.257798,175766200.019123
0.1401,175512408.57591,175512408.57591,175751456.283597
0.1402,175331961.758669,175331961.758669,175570763.697989
0.1403,175317467.77952,175317467.77952,175556249.978055
0.1404,174965057.024409,174965057.024409,175203359.239883
0.1405,174950697.198943,174950697.198943,175188979.856351
0.1406,174771202.302342,174771202.302342,175009240.487898
0.1407,174757070.000448,174757070.000448,174995088.937824
0.1408,174749985.13588,174749985.13588,174987994.423679
0.1409,174399084.767277,174399084.767277,174636616.129158
0.141,174220524.866858,174220524.866858,174457813.030352
0.1411,174206753.766488,174206753.766488,174444023.173758
0.1412,174193140.411892,174193140.411892,174430391.277788
0.1413,173843787.820977,173843787.820977,174080562.869028
0.1414,173830303.752372,173830303.752372,174067060.435136
0.1415,173652746.625461,173652746.625461,173889261.475613
0.1416,173632645.431992,173632645.431992,173869132.904341
0.1417,173619536.995088,173619536.995088,173856006.613761
0.1418,173271714.270672,173271714.270672,173507710.155176
0.1419,173095094.243371,173095094.243371,173330849.571591
0.142,173082177.236346,173082177.236346,173317914.971617
0.1421,173062596.599309,173062596.599309,173298307.665774
0.1422,172723117.540573,172723117.540573,172958366.236933
0.1423,172703680.178641,172703680.178641,172938902.401336
0.1424,172528053.541121,172528053.541121,172763036.560528
0.1425,172515631.09876,172515631.09876,172750597.198814
0.1426,172170868.919239,172170868.919239,172405365.453584
0.1427,172158569.087553,172158569.087553,172393048.86954
0.1428,171977087.493329,171977087.493329,172211320.097585
0.1429,171965000.112609,171965000.112609,172199216.253865
0.143,171953066.024371,171953066.024371,172187265.911412
0.1431,171609796.222229,171609796.222229,171843528.576177
0.1432,171435995.381518,171435995.381518,171669491.018911
0.1433,171417496.295213,171417496.295213,171650966.736871
0.1434,171405892.263497,171405892.263497,171639346.900476
0.1435,171070863.888177,171070863.888177,171303862.216878
0.1436,171066114.249492,171066114.249492,171299106.109189
0.1437,170899986.736586,170899986.736586,171132752.330794
0.1438,170895452.466337,170895452.466337,171128211.884873
0.1439,170891077.521372,170891077.521372,171123830.981239
0.144,170564078.571316,170564078.571316,170796386.658971
0.1441,170398775.375563,170398775.375563,170630858.320448
0.1442,170394565.377691,170394565.377691,170626642.588563
0.1443,170390513.741934,170390513.741934,170622585.434482
0.1444,170064832.682832,170064832.682832,170296460.798136
0.1445,170060889.384718,170060889.384718,170292512.129254
0.1446,169896457.875476,169896457.875476,170127856.664477
0.1447,169892725.857452,169892725.857452,170124119.563449
0.1448,169568353.460269,169568353.460269,169799305.371418
0.1449,169564727.975026,169564727.975026,169795674.948267
0.145,169401106.952249,169401106.952249,169631831.073837
0.1451,169391020.130657,169391020.130657,169621730.514005
0.1452,169387756.193141,169387756.193141,169618462.131009
0.1453,169071306.740908,169071306.740908,169301581.67497
0.1454,168908489.853748,168908489.853748,169138543.031389
0.1455,168898735.839582,168898735.839582,169128775.732267
0.1456,168895783.347016,168895783.347016,169125819.218408
0.1457,168580603.11005,168580603.11005,168810209.706306
0.1458,168571119.119075,168571119.119075,168800712.798146
0.1459,168409159.201254,168409159.201254,168638532.291095
0.146,168399880.775137,168399880.775137,168629241.227772
0.1461,168390748.74883,168390748.74883,168620096.763654
0.1462,168070202.787296,168070202.787296,168299114.218873
0.1463,167902441.689023,167902441.689023,168131124.630169
0.1464,167893476.438425,167893476.438425,168122147.168909
0.1465,167884656.65013,167884656.65013,168113315.368072
0.1466,167565443.425832,167565443.425832,167793667.375713
0.1467,167556734.536138,167556734.536138,167784946.624521
0.1468,167396447.657301,167396447.657301,167624441.435131
0.1469,167387940.377706,167387940.377706,167615922.568631
0.147,167070030.100238,167070030.100238,167297579.297714
0.1471,167061631.982728,167061631.982728,167289169.741977
0.1472,166895569.353219,166895569.353219,167122880.935349
0.1473,166887367.256866,166887367.256866,167114667.66775
